Country,Year,GC.XPN.COMP.ZS,NY.ADJ.AEDU.CD,SE.ADT.LITR.FE.ZS,SE.ADT.LITR.MA.ZS,SH.H2O.SMDW.ZS,SL.UEM.ADVN.ZS,SP.POP.DPND.OL,SP.POP.DPND.YG,Cluster
LDC,2017,39.14937525380557,13939733330.832481,57.4831008911133,71.7135391235352,27.531414903198588,6.705022136331512,6.097794778359827,70.81301383253118,2
LDC,2018,37.62991407551451,13939733330.832481,57.8335189819336,71.8459320068359,27.78467111562553,6.705022136331512,6.159583662325619,70.09505372931218,2
LDC,2019,40.15061036492827,13939733330.832481,59.1537208557129,72.7659606933594,28.047071740158128,6.705022136331512,6.231275775998695,69.38841204523196,2
LDC,2020,38.73348578973099,13939733330.832481,59.4558906555176,72.8892364501953,28.287329634956617,6.705022136331512,6.28459945231765,68.65716948874811,2
LDC,2021,28.33264294594551,13939733330.832481,60.1137886047363,73.3884735107422,28.528070763083488,6.705022136331512,6.314257630044074,67.93650115666145,2
LDC,2022,28.33264294594551,13939733330.832481,60.5485305786133,73.6298522949219,28.66010007983031,6.705022136331512,6.34981444054401,67.2655979465868,2
LIC,2000,28.33264294594551,13939733330.832481,41.6278610229492,61.1115303039551,18.91068364448082,6.705022136331512,5.719715976975909,87.79533550173693,2
LIC,2001,28.33264294594551,13939733330.832481,42.7941093444824,62.0103416442871,19.04770085572849,6.705022136331512,5.738072232070395,87.4723591309762,2
LIC,2002,28.33264294594551,13939733330.832481,42.2737998962402,63.8485488891602,19.27861046378151,6.705022136331512,5.751451383023917,87.1490835256448,2
LIC,2003,28.33264294594551,13939733330.832481,42.7752914428711,63.7841606140137,19.56293322765894,6.705022136331512,5.762005985815996,86.81273168060272,2
LIC,2004,28.33264294594551,13939733330.832481,44.0487213134766,65.486213684082,19.86467965176306,6.705022136331512,5.770225161646674,86.40329562030784,2
LIC,2005,28.33264294594551,13939733330.832481,43.510311126709,64.266471862793,20.22456970385958,6.705022136331512,5.773498213119553,85.93317019363754,2
LIC,2006,28.33264294594551,13939733330.832481,41.7064018249512,62.75,20.66024515320753,6.705022136331512,5.769214130852537,85.36851443649498,2
LIC,2007,28.33264294594551,13939733330.832481,43.3451614379883,63.7201881408691,21.13699989365134,6.705022136331512,5.762394886089915,84.86103720614864,2
LIC,2008,28.33264294594551,13939733330.832481,44.1927680969238,64.4670867919922,21.61314674712312,6.705022136331512,5.755327657020496,84.44613640874387,2
LIC,2009,28.33264294594551,13939733330.832481,44.6296997070312,65.0569076538086,22.0523938913148,6.705022136331512,5.749459408414197,84.00031507205601,2
LIC,2010,34.29663183308283,13939733330.832481,45.3856506347656,65.1594390869141,22.52625229644758,6.705022136331512,5.749340957899556,83.52174061134014,2
LIC,2011,28.33264294594551,13939733330.832481,47.8613700866699,66.717529296875,22.5821845394643,6.705022136331512,5.754237368481839,82.96736674655486,2
LIC,2012,40.2991110702609,13939733330.832481,48.4092483520508,67.1370697021484,23.00539349983294,6.705022136331512,5.765759906371332,82.5122560285726,2
LIC,2013,28.33264294594551,13939733330.832481,49.4457206726074,67.9315567016602,23.3493534657775,6.705022136331512,5.781777869321987,82.27319682263573,2
LIC,2014,28.33264294594551,13939733330.832481,49.8515815734863,68.2255325317383,23.71102024380622,6.705022136331512,5.793727140680406,81.99952181554961,2
LIC,2015,36.40675007283936,13939733330.832481,50.5955200195312,68.4582672119141,24.18121308440618,6.705022136331512,5.80748278026258,81.57574300544823,2
LIC,2016,38.06549615429629,13939733330.832481,51.7029914855957,68.8258209228516,24.73885749327601,6.705022136331512,5.808437878768813,80.9581526824996,2
LIC,2017,40.809694285066186,13939733330.832481,52.9723014831543,69.5401382446289,25.32074955572115,6.705022136331512,5.798397206061999,80.21825059201589,2
LIC,2018,28.33264294594551,13939733330.832481,52.8249702453613,69.3095779418945,25.99323611952916,6.705022136331512,5.798911095729515,79.41570521769206,2
LIC,2019,46.89317279066569,13939733330.832481,53.2473297119141,69.2160568237305,26.71071369128703,6.705022136331512,5.808179279864023,78.53197976387996,2
LIC,2020,43.28936568209157,13939733330.832481,53.435489654541,69.1979522705078,27.4162768893687,6.705022136331512,5.807007192824208,77.64449538442766,2
LIC,2021,28.33264294594551,13939733330.832481,54.0468482971191,69.472282409668,28.09101495951681,6.705022136331512,5.78263474349584,76.79926458439685,2
LIC,2022,28.33264294594551,13939733330.832481,54.2912712097168,69.6257400512695,28.60294834132049,6.705022136331512,5.760752333110219,75.93578591781453,2
LIE,2000,28.33264294594551,57203590.3392137,75.20600496011687,84.45580889242832,100.0,6.705022136331512,14.44784493751594,25.93301028649154,0
LIE,2001,28.33264294594551,52651527.0686977,75.20600496011687,84.45580889242832,100.0,6.705022136331512,14.526572485704676,25.803060881264717,0
LIE,2002,28.33264294594551,55749140.0221454,75.20600496011687,84.45580889242832,100.0,6.705022136331512,14.798281113104428,25.774959322458173,0
LIE,2003,28.33264294594551,61724589.0692951,75.20600496011687,84.45580889242832,100.0,6.705022136331512,15.06968280881684,25.536578305281004,0
LIE,2004,28.33264294594551,67149505.2917284,75.20600496011687,84.45580889242832,100.0,6.705022136331512,15.3776794130907,25.20595106356818,0
LIE,2005,28.33264294594551,73444559.4637132,75.20600496011687,84.45580889242832,100.0,6.705022136331512,15.911588716571009,24.93996010908943,0
LIE,2006,28.33264294594551,82390528.1480078,75.20600496011687,84.45580889242832,100.0,6.705022136331512,16.504893634231173,24.597589581816713,0
LIE,2007,28.33264294594551,88399708.2253448,75.20600496011687,84.45580889242832,100.0,6.705022136331512,17.150098563784848,24.262783119443217,0
LIE,2008,28.33264294594551,104086541.71612,75.20600496011687,84.45580889242832,100.0,6.705022136331512,17.902198726420764,23.87760823421042,0
LIE,2009,28.33264294594551,98251719.149879,75.20600496011687,84.45580889242832,100.0,6.705022136331512,18.728309864773227,23.57892217479756,0
LIE,2010,28.33264294594551,120037655.013735,75.20600496011687,84.45580889242832,100.0,6.705022136331512,19.413352385488608,23.18409145034532,0
LIE,2011,28.33264294594551,138789432.435463,75.20600496011687,84.45580889242832,100.0,6.705022136331512,20.135844884097462,22.773762982269083,0
LIE,2012,28.33264294594551,116603916.14658,75.20600496011687,84.45580889242832,100.0,6.705022136331512,21.001100975149416,22.538534130229632,0
LIE,2013,28.33264294594551,156497121.69782,75.20600496011687,84.45580889242832,100.0,6.705022136331512,21.862268881228456,22.31667188968975,0
LIE,2014,28.33264294594551,164561534.117864,75.20600496011687,84.45580889242832,100.0,6.705022136331512,22.72869307085384,22.16623701273338,0
LIE,2015,28.33264294594551,158084048.427749,75.20600496011687,84.45580889242832,100.0,6.705022136331512,23.52964073021681,21.871472500097312,0
LIE,2016,28.33264294594551,183301018.305497,75.20600496011687,84.45580889242832,100.0,6.705022136331512,24.37849596022374,21.709912989434432,0
LIE,2017,28.33264294594551,206658389.710191,75.20600496011687,84.45580889242832,100.0,6.705022136331512,25.201644175585542,21.723282146734917,0
LIE,2018,28.33264294594551,211828078.613184,75.20600496011687,84.45580889242832,100.0,6.705022136331512,26.01742497579864,21.823814133591483,0
LIE,2019,28.33264294594551,191966261.00902,75.20600496011687,84.45580889242832,100.0,6.705022136331512,26.85303329080153,21.93867687429919,0
LIE,2020,28.33264294594551,13939733330.832481,75.20600496011687,84.45580889242832,100.0,6.705022136331512,27.621325515006557,21.888743152534527,0
LIE,2021,28.33264294594551,13939733330.832481,75.20600496011687,84.45580889242832,100.0,6.705022136331512,28.318652152171403,21.844828249413396,0
LIE,2022,28.33264294594551,13939733330.832481,75.20600496011687,84.45580889242832,100.0,6.705022136331512,29.265293575161387,21.856747617583768,0
LKA,2000,23.70829499782093,391375979.487904,75.20600496011687,84.45580889242832,44.690599746669,6.705022136331512,10.816690942208943,40.55539785701796,1
LKA,2001,23.289939698462476,365888495.696551,89.1357574462891,92.2702026367188,44.8200054949636,6.705022136331512,10.781594923836831,40.000876629534766,1
LKA,2002,24.5069847279792,372486882.709599,75.20600496011687,84.45580889242832,44.948926886999,6.705022136331512,10.760590368112853,39.56253733849809,1
LKA,2003,24.593651695328536,413330933.767849,75.20600496011687,84.45580889242832,45.0783554158415,6.705022136331512,10.759205306741498,39.24633932145408,1
LKA,2004,24.521517841472765,435933796.548347,75.20600496011687,84.45580889242832,45.207797617992,6.705022136331512,10.763441364997735,38.98683310067106,1
LKA,2005,27.98008732989747,494846776.48123,75.20600496011687,84.45580889242832,45.3367534277481,6.705022136331512,10.780429800905823,38.767794508972,1
LKA,2006,28.16430235701505,550716571.611738,89.0913467407227,92.7136535644531,45.5262626367779,6.705022136331512,10.818879878830383,38.58825730256854,1
LKA,2007,29.851869714486433,606783496.014978,75.20600496011687,84.45580889242832,45.7153301332015,6.705022136331512,10.924612478440444,38.43687648748485,1
LKA,2008,28.214088044079865,722623460.587056,89.0734710693359,92.2439270019531,45.9049564408666,6.705022136331512,11.07102791128206,38.33427900912032,1
LKA,2009,26.76423251999949,723506110.759252,75.20600496011687,84.45580889242832,46.0946421908046,7.17,11.239377100866328,38.267721547214265,1
LKA,2010,27.811642910283418,986323276.114961,89.9586791992188,92.5784683227539,46.2838727827629,10.719,11.434324929672709,38.17851484803065,1
LKA,2011,27.386312028174565,1127308873.33809,75.20600496011687,84.45580889242832,46.473670278824,7.516,11.653244088241136,38.06284090704376,1
LKA,2012,25.672700695439044,990037050.89982,75.20600496011687,84.45580889242832,46.6635284571006,7.54,12.008154652877613,38.015950969292994,1
LKA,2013,27.94896762500445,977241331.302099,75.20600496011687,84.45580889242832,46.8622799469941,4.081,12.497942343741531,38.02352883186881,1
LKA,2014,28.813896225333412,1279984235.10461,75.20600496011687,84.45580889242832,47.0706000017364,4.762,13.039897311874366,37.98492187678876,1
LKA,2015,28.419370387447092,1531901090.28439,75.20600496011687,84.45580889242832,47.2886463544296,5.988,13.610571398636605,37.845126133715624,1
LKA,2016,28.7285151798454,2155731366.02102,91.4861068725586,93.4558868408203,47.516056893462,6.216,14.16991597048172,37.59131672311511,1
LKA,2017,26.68167366075682,2113527359.90865,90.9707412719727,92.9805526733398,47.7535126946425,7.098,14.74006987258819,37.266473526374675,1
LKA,2018,26.67981757192226,1506400528.69932,90.7956008911133,92.7729263305664,48.0017088515674,8.525,15.337108089879006,36.89612249246333,1
LKA,2019,27.07615050697263,1415616482.17584,91.5808715820312,93.0313568115234,47.8252897781829,7.789,15.923330177664504,36.464371869885795,1
LKA,2020,26.617344048806338,1358759997.34986,91.59765625,93.2840270996094,47.5914243025232,7.652,16.46549401871106,35.950740330271564,1
LKA,2021,27.48958327670194,1421132078.26655,91.6362075805664,93.3422622680664,47.3592994454661,3.865,16.99964939775227,35.372720174154,1
LKA,2022,25.2415902721903,13939733330.832481,91.7631607055664,93.3444595336914,47.1275328737655,5.366,17.574445252016012,34.759207271632924,0
LMC,2000,28.33264294594551,13939733330.832481,54.2797317504883,74.2553024291992,44.09997725672975,6.705022136331512,7.128086812275815,63.58111944059192,2
LMC,2001,28.33264294594551,13939733330.832481,55.0573997497559,74.5858535766602,44.84880590329117,6.705022136331512,7.15431906865072,62.61732756498471,2
LMC,2002,28.33264294594551,13939733330.832481,56.0121116638184,75.1838912963867,45.61371773643128,6.705022136331512,7.1855670156384805,61.71063055742512,2
LMC,2003,28.33264294594551,13939733330.832481,57.0608787536621,76.2685623168945,46.38552375490525,6.705022136331512,7.2180969346887345,60.830904099743435,2
LMC,2004,35.747185362881574,13939733330.832481,57.9431381225586,76.8246231079102,47.23976828098129,6.705022136331512,7.242769912409673,59.94183710964567,2
LMC,2005,28.33264294594551,13939733330.832481,57.3480911254883,76.7482528686523,48.15262132215161,6.705022136331512,7.260716316584731,59.060652575424584,2
LMC,2006,28.33264294594551,13939733330.832481,58.7769508361816,76.4546432495117,49.07581056144171,6.705022136331512,7.276742770019505,58.19391757705291,2
LMC,2007,28.33264294594551,13939733330.832481,58.5789413452148,76.7471771240234,50.01147241401546,6.705022136331512,7.291893525365285,57.33677455290343,2
LMC,2008,28.33264294594551,13939733330.832481,59.3010711669922,77.2409362792969,50.47310320857302,6.705022136331512,7.309923332699704,56.51777887322255,2
LMC,2009,39.42749394528496,13939733330.832481,60.3066291809082,77.9117279052734,51.48517772371034,6.705022136331512,7.333727023391602,55.73105627155983,1
LMC,2010,36.17080634515544,13939733330.832481,62.8433303833008,78.867301940918,52.5009645496783,8.199511810143518,7.365316513980953,54.95908860305416,1
LMC,2011,36.45678473389602,13939733330.832481,63.2070617675781,78.7353363037109,53.5191534225437,6.705022136331512,7.409614793757667,54.22191031675222,1
LMC,2012,35.96444097924468,13939733330.832481,64.0897979736328,79.4964065551758,54.60416910949119,9.647311412511058,7.471123512378504,53.52586218920312,1
LMC,2013,36.60821394791152,13939733330.832481,64.7795791625977,79.9075088500977,55.68801793289269,6.705022136331512,7.5481337258521135,52.85035502212258,1
LMC,2014,36.23485669168437,13939733330.832481,65.7448196411133,80.3310928344727,56.76385231439852,6.705022136331512,7.663283223009287,52.173379969762046,1
LMC,2015,37.10843044907691,13939733330.832481,66.814697265625,81.1191329956055,57.74320092908746,6.705022136331512,7.821052066187806,51.497189490276085,1
LMC,2016,35.57104617772833,13939733330.832481,67.7120819091797,81.6029510498047,58.7004204900386,6.705022136331512,7.993560452967791,50.803723257524915,1
LMC,2017,35.86783342347407,13939733330.832481,68.5562896728516,82.0437164306641,59.64120867898109,6.705022136331512,8.1803893283017,50.08266629794964,1
LMC,2018,36.10657945312995,13939733330.832481,69.3815689086914,82.4764404296875,60.56471504338271,16.005013087310363,8.383211618957949,49.377389825756,1
LMC,2019,35.48426875309947,13939733330.832481,69.6874237060547,82.5324783325195,61.46061205165731,15.251838143925571,8.596472487004254,48.695678186720784,1
LMC,2020,32.96562398241742,13939733330.832481,70.3396987915039,82.9567565917969,62.32241420363362,6.705022136331512,8.788789550428254,48.01114247869995,1
LMC,2021,32.115479322911725,13939733330.832481,71.0304107666016,83.4083480834961,63.17350646165669,15.174792768151365,8.911713672977424,47.36434918936326,1
LMC,2022,28.33264294594551,13939733330.832481,71.9270095825195,83.7351989746094,63.79932676181821,13.294984208424252,9.014083771076008,46.75527198592888,1
LMY,2000,28.33264294594551,13939733330.832481,70.7514266967773,83.6748428344727,53.19732006732158,6.705022136331512,8.366172931286135,53.62332952912367,1
LMY,2001,28.33264294594551,13939733330.832481,71.3014831542969,83.9643096923828,53.63693433603728,6.705022136331512,8.456702226811922,52.59461678657077,1
LMY,2002,28.33264294594551,13939733330.832481,71.796012878418,84.3717269897461,54.38128834090717,6.705022136331512,8.546896012432242,51.53325744675489,1
LMY,2003,28.33264294594551,13939733330.832481,72.473747253418,84.9440536499023,55.12154774943239,6.705022136331512,8.632468533126925,50.506037310913165,1
LMY,2004,28.33264294594551,13939733330.832481,73.0465087890625,85.3137512207031,55.89591178244874,6.705022136331512,8.703330123031957,49.50830051420614,1
LMY,2005,28.33264294594551,13939733330.832481,72.8878936767578,85.2854232788086,56.69843362388848,6.705022136331512,8.764796185425407,48.518218648777946,1
LMY,2006,28.33264294594551,13939733330.832481,73.50537109375,85.1098403930664,57.50108873584136,6.705022136331512,8.832342941918354,47.66630505685812,1
LMY,2007,28.33264294594551,13939733330.832481,74.0380096435547,85.476936340332,57.9886203400521,6.705022136331512,8.898963905514083,47.00306185529486,1
LMY,2008,34.93824173315376,13939733330.832481,74.4926681518555,85.7668228149414,58.31154950335627,6.705022136331512,8.957783626363137,46.44888583158323,1
LMY,2009,34.40370445219465,13939733330.832481,74.9894180297852,85.9925231933594,58.96084416620399,6.705022136331512,9.021216341398738,45.97222981724146,1
LMY,2010,34.10223735245687,13939733330.832481,76.2049789428711,86.3809432983398,59.60961779598555,6.705022136331512,9.09763740004688,45.54354283074862,1
LMY,2011,31.869679797777312,13939733330.832481,76.5856475830078,86.4691390991211,60.30359703525609,6.705022136331512,9.201733549063832,45.16622323873248,1
